id,name,category,amount,status,note
60,Eka,alpha,2788.48,ok,"batch 60"
61,Danu,alpha,7936.64,ok,"batch 61"
62,Eka,alpha,552.96,ok,"normal cleanup"
63,Citra,alpha,6741.12,ok,"batch 63"
64,Ada,alpha,7914.88,ok,"batch 64"
65,Bima,alpha,5383.68,ok,"batch 65"
66,Bima,alpha,4180.48,ok,"batch 66"
67,Danu,alpha,7088.64,ok,"batch 67"
68,Danu,alpha,7356.80,ok,"needs, review"
69,Bima,alpha,7792.64,ok,"batch 69"
70,Ada,alpha,3542.40,ok,"batch 70"
71,Danu,alpha,2547.84,ok,"batch 71"
72,Bima,alpha,1608.96,ok,"batch 72"
73,Eka,alpha,380.80,ok,"batch 73"
74,Danu,alpha,9187.84,ok,"batch 74"
75,Danu,alpha,4844.16,ok,"batch 75"
76,Eka,alpha,3166.08,ok,"batch 76"
77,Danu,alpha,6558.72,ok,"batch 77"
78,Citra,alpha,3996.16,ok,"batch 78"
79,Ada,alpha,1047.04,ok,"batch 79"
80,Ada,alpha,4645.76,ok,"batch 80"
81,Eka,alpha,4208.00,ok,"batch 81"
82,Eka,alpha,3910.40,ok,"batch 82"
83,Ada,alpha,1326.72,ok,"batch 83"
84,Citra,alpha,8134.40,ok,"batch 84"
85,Danu,alpha,7709.44,ok,"needs, review"
86,Bima,alpha,9529.60,ok,"batch 86"
87,Eka,alpha,7475.84,ok,"quote ""check"""
88,Eka,alpha,9778.56,ok,"batch 88"
89,Ada,alpha,6235.52,ok,"batch 89"
90,Citra,alpha,9134.72,ok,"batch 90"
91,Bima,alpha,2330.24,ok,"batch 91"
92,Eka,alpha,8990.72,ok,"batch 92"
93,Ada,alpha,1359.36,ok,"normal cleanup"
94,Citra,alpha,9466.88,ok,"batch 94"
95,Ada,alpha,7589.12,ok,"batch 95"
96,Eka,alpha,1112.32,ok,"batch 96"
97,Citra,alpha,6244.48,ok,"batch 97"
98,Danu,alpha,4873.60,ok,"batch 98"
99,Ada,alpha,7662.08,ok,"batch 99"
100,Citra,alpha,5893.76,ok,"batch 0"
101,Citra,alpha,6240.00,ok,"batch 1"
102,Bima,alpha,8348.16,ok,"needs, review"
103,Eka,alpha,485.12,ok,"batch 3"
104,Citra,alpha,8651.52,ok,"batch 4"
105,Ada,alpha,7146.24,ok,"batch 5"
106,Citra,alpha,6073.60,ok,"batch 6"
107,Bima,alpha,4767.36,ok,"batch 7"
108,Citra,alpha,2958.08,ok,"batch 8"
109,Ada,alpha,7699.20,ok,"batch 9"
110,Citra,alpha,1731.20,ok,"batch 10"
111,Eka,alpha,729.60,ok,"batch 11"
112,Eka,alpha,7987.20,ok,"batch 12"
113,Bima,alpha,6430.72,ok,"batch 13"
114,Eka,alpha,7779.20,ok,"batch 14"
115,Citra,alpha,2131.20,ok,"batch 15"
116,Danu,alpha,2392.96,ok,"quote ""check"""
117,Bima,alpha,1805.76,ok,"batch 17"
118,Citra,alpha,3134.72,ok,"batch 18"
119,Ada,alpha,9210.24,ok,"needs, review"
120,Bima,alpha,3571.20,ok,"batch 20"
121,Danu,alpha,7381.12,ok,"batch 21"
122,Bima,alpha,222.08,ok,"batch 22"
123,Citra,alpha,657.84,ok,"batch 23"
124,Ada,alpha,3313.28,ok,"normal cleanup"
125,Eka,alpha,6583.68,ok,"batch 25"
126,Citra,alpha,2332.80,ok,"batch 26"
127,Bima,alpha,6202.24,ok,"batch 27"
128,Danu,alpha,661.12,ok,"batch 28"
129,Danu,alpha,8952.32,ok,"batch 29"
130,Danu,alpha,1870.72,ok,"batch 30"
131,Danu,alpha,7736.32,ok,"batch 31"
132,Ada,alpha,5160.32,ok,"batch 32"
133,Bima,alpha,9082.24,ok,"batch 33"
134,Citra,alpha,8973.44,ok,"batch 34"
135,Danu,alpha,4326.40,ok,"batch 35"
136,Bima,alpha,8178.56,ok,"needs, review"
137,Danu,alpha,7331.20,ok,"batch 37"
138,Eka,alpha,5554.56,ok,"batch 38"
139,Danu,alpha,8010.88,ok,"batch 39"
140,Citra,alpha,1444.48,ok,"batch 40"
141,Danu,alpha,4126.72,ok,"batch 41"
142,Eka,alpha,1971.20,ok,"batch 42"
143,Citra,alpha,6455.04,ok,"batch 43"
144,Eka,alpha,9669.76,ok,"batch 44"
145,Citra,alpha,3898.24,ok,"quote ""check"""
146,Bima,alpha,9790.72,ok,"batch 46"
147,Danu,alpha,2217.60,ok,"batch 47"
148,Eka,alpha,2548.48,ok,"batch 48"
149,Citra,alpha,2908.16,ok,"batch 49"
150,Citra,alpha,5530.88,ok,"batch 50"
151,Bima,alpha,2795.52,ok,"batch 51"
152,Eka,alpha,2750.72,ok,"batch 52"
153,Eka,alpha,8305.28,ok,"needs, review"
154,Citra,alpha,8348.16,ok,"batch 54"
155,Citra,alpha,8489.60,ok,"normal cleanup"
156,Bima,alpha,8768.00,ok,"batch 56"
157,Ada,alpha,4189.44,ok,"batch 57"
158,Eka,alpha,8913.28,ok,"batch 58"
159,Eka,alpha,1589.76,ok,"batch 59"
160,Citra,alpha,4548.48,ok,"batch 60"
161,Danu,alpha,3936.00,ok,"batch 61"
162,Citra,alpha,1540.48,ok,"batch 62"
163,Citra,alpha,3141.12,ok,"batch 63"
164,Ada,alpha,8150.40,ok,"batch 64"
165,Citra,alpha,1310.72,ok,"batch 65"
166,Bima,alpha,986.88,ok,"batch 66"
167,Eka,alpha,756.48,ok,"batch 67"
168,Citra,alpha,2772.48,ok,"batch 68"
169,Citra,alpha,7786.24,ok,"batch 69"
170,Danu,alpha,9505.28,ok,"needs, review"
171,Eka,alpha,1546.24,ok,"batch 71"
172,Citra,alpha,5167.36,ok,"batch 72"
173,Danu,alpha,7190.40,ok,"batch 73"
174,Ada,alpha,1226.24,ok,"quote ""check"""
175,Bima,alpha,3429.12,ok,"batch 75"
176,Danu,alpha,6140.80,ok,"batch 76"
177,Citra,alpha,5541.76,ok,"batch 77"
178,Danu,alpha,2065.20,ok,"batch 78"
179,Eka,alpha,7964.80,ok,"batch 79"
180,Danu,alpha,9639.04,ok,"batch 80"
181,Ada,alpha,9870.72,ok,"batch 81"
182,Danu,alpha,2234.16,ok,"batch 82"
183,Ada,alpha,7665.28,ok,"batch 83"
184,Citra,alpha,7715.20,ok,"batch 84"
185,Citra,alpha,9066.24,ok,"batch 85"
186,Bima,alpha,5943.04,ok,"normal cleanup"
187,Citra,alpha,2647.04,ok,"needs, review"
188,Eka,alpha,5431.68,ok,"batch 88"
189,Bima,alpha,6530.56,ok,"batch 89"
190,Citra,alpha,2866.56,ok,"batch 90"
191,Bima,alpha,7607.04,ok,"batch 91"
192,Citra,alpha,3353.28,ok,"batch 92"
193,Ada,alpha,5529.60,ok,"batch 93"
194,Citra,alpha,9824.64,ok,"batch 94"
195,Citra,beta,7737.60,ok,"batch 95"
196,Danu,alpha,9941.12,ok,"batch 96"
197,Eka,alpha,8484.48,ok,"batch 97"
198,Eka,alpha,3893.68,ok,"batch 98"
199,Eka,alpha,7292.80,ok,"batch 99"
200,Eka,alpha,8492.80,ok,"batch 0"
201,Ada,alpha,7111.04,ok,"batch 1"
202,Bima,alpha,1240.32,ok,"batch 2"
203,Eka,alpha,6353.92,ok,"quote ""check"""
204,Danu,alpha,1761.92,ok,"needs, review"
205,Citra,alpha,2186.24,ok,"batch 5"
206,Bima,alpha,6958.72,ok,"batch 6"
207,Eka,alpha,1992.96,ok,"batch 7"
208,Ada,alpha,5799.04,ok,"batch 8"
209,Citra,alpha,4144.64,ok,"batch 9"
210,Bima,alpha,9991.68,ok,"batch 10"
211,Bima,alpha,4332.80,ok,"batch 11"
212,Danu,alpha,8389.76,ok,"batch 12"
213,Eka,alpha,7705.60,ok,"batch 13"
214,Eka,alpha,7344.64,ok,"batch 14"
215,Citra,alpha,7369.60,ok,"batch 15"
216,Eka,alpha,730.88,ok,"batch 16"
217,Danu,alpha,5476.48,ok,"normal cleanup"
218,Bima,alpha,1452.16,ok,"batch 18"
219,Ada,alpha,1038.08,ok,"batch 19"
220,Citra,alpha,8974.08,ok,"batch 20"
221,Bima,alpha,1175.68,ok,"needs, review"
222,Danu,alpha,4068.48,ok,"batch 22"
223,Danu,alpha,2459.52,ok,"batch 23"
224,Bima,alpha,7180.80,ok,"batch 24"
225,Bima,alpha,24.96,ok,"batch 25"
226,Danu,alpha,931.20,ok,"batch 26"
227,Eka,alpha,9329.28,ok,"batch 27"
228,Ada,alpha,449.92,ok,"batch 28"
229,Bima,alpha,9449.60,ok,"batch 29"
230,Danu,alpha,9491.20,ok,"batch 30"
231,Citra,alpha,5978.88,ok,"batch 31"
232,Eka,alpha,4012.80,ok,"quote ""check"""
233,Eka,alpha,9326.08,ok,"batch 33"
234,Citra,alpha,1651.84,ok,"batch 34"
235,Eka,alpha,3982.72,ok,"batch 35"
236,Danu,alpha,3786.88,ok,"batch 36"
237,Ada,alpha,9593.60,ok,"batch 37"
238,Bima,alpha,3027.84,ok,"needs, review"
239,Danu,alpha,584.32,ok,"batch 39"
240,Danu,alpha,6582.40,ok,"batch 40"
241,Bima,alpha,6771.20,ok,"batch 41"
242,Danu,alpha,2216.32,ok,"batch 42"
243,Ada,alpha,6400.00,ok,"batch 43"
244,Ada,alpha,6339.20,ok,"batch 44"
245,Danu,alpha,3171.20,ok,"batch 45"
246,Eka,alpha,7813.76,ok,"batch 46"
247,Danu,alpha,9496.96,ok,"batch 47"
248,Danu,alpha,122.24,ok,"normal cleanup"
249,Ada,alpha,9078.40,ok,"batch 49"
250,Citra,alpha,2010.88,ok,"batch 50"
251,Bima,alpha,8316.80,ok,"batch 51"
252,Bima,alpha,512.00,ok,"batch 52"
253,Ada,alpha,8871.68,ok,"batch 53"
254,Danu,alpha,1700.48,ok,"batch 54"
255,Ada,alpha,7630.08,ok,"needs, review"
256,Citra,alpha,658.56,ok,"batch 56"
257,Bima,alpha,7256.96,ok,"batch 57"
258,Eka,alpha,7175.60,ok,"batch 58"
259,Bima,alpha,8396.80,ok,"batch 59"
260,Danu,alpha,9097.60,ok,"batch 60"
261,Bima,alpha,3601.28,ok,"quote ""check"""
262,Danu,alpha,3377.28,ok,"batch 62"
263,Eka,alpha,6597.12,ok,"batch 63"
264,Eka,alpha,9735.04,ok,"batch 64"
265,Ada,alpha,5054.72,ok,"batch 65"
266,Bima,alpha,3127.68,ok,"batch 66"
267,Danu,alpha,1050.88,ok,"batch 67"
268,Ada,alpha,8985.60,ok,"batch 68"
269,Eka,alpha,1734.40,ok,"batch 69"
270,Ada,alpha,3027.84,ok,"batch 70"
271,Bima,alpha,4224.00,ok,"batch 71"
272,Ada,alpha,1129.60,ok,"needs, review"
273,Danu,alpha,7900.16,ok,"batch 73"
274,Bima,alpha,9607.04,ok,"batch 74"
275,Eka,alpha,2662.40,ok,"batch 75"
276,Bima,alpha,5064.32,ok,"batch 76"
277,Eka,alpha,3599.36,ok,"batch 77"
278,Citra,alpha,9039.36,ok,"batch 78"
279,Bima,alpha,418.56,ok,"normal cleanup"
280,Ada,alpha,6721.28,ok,"batch 80"
281,Ada,alpha,4951.68,ok,"batch 81"
282,Ada,alpha,9879.04,ok,"batch 82"
283,Ada,alpha,4695.68,ok,"batch 83"
284,Ada,alpha,1615.36,ok,"batch 84"
285,Ada,alpha,181.12,ok,"batch 85"
286,Danu,alpha,1497.60,ok,"batch 86"
287,Bima,alpha,6403.20,ok,"batch 87"
288,Eka,alpha,138.88,ok,"batch 88"
289,Bima,alpha,4579.20,ok,"needs, review"
290,Ada,alpha,4401.92,ok,"quote ""check"""
291,Bima,alpha,9536.00,ok,"batch 91"
292,Citra,alpha,5901.44,ok,"batch 92"
293,Bima,alpha,2578.56,ok,"batch 93"
294,Eka,alpha,4355.20,ok,"batch 94"
295,Danu,alpha,8516.48,ok,"batch 95"
296,Eka,alpha,2625.92,ok,"batch 96"
297,Citra,alpha,4266.24,ok,"batch 97"
298,Citra,alpha,9600.64,ok,"batch 98"
299,Bima,alpha,8940.16,ok,"batch 99"
300,Citra,alpha,5021.44,ok,"batch 0"
301,Eka,alpha,4146.56,ok,"batch 1"
302,Danu,alpha,3794.56,ok,"batch 2"
303,Danu,alpha,4636.16,ok,"batch 3"
304,Ada,alpha,5584.00,ok,"batch 4"
305,Eka,alpha,4069.76,ok,"batch 5"
306,Eka,alpha,2085.12,ok,"needs, review"
307,Eka,alpha,2510.72,ok,"batch 7"
308,Danu,alpha,7864.32,ok,"batch 8"
309,Eka,alpha,2209.92,ok,"batch 9"
310,Ada,alpha,3682.56,ok,"normal cleanup"
311,Bima,alpha,699.52,ok,"batch 11"
312,Danu,alpha,5430.40,ok,"batch 12"
313,Bima,alpha,3320.96,ok,"batch 13"
314,Bima,alpha,3647.36,ok,"batch 14"
315,Bima,alpha,9829.76,ok,"batch 15"
316,Citra,alpha,1264.64,ok,"batch 16"
317,Ada,alpha,2174.72,ok,"batch 17"
318,Eka,alpha,6974.01,ok,"batch 18"
319,Ada,alpha,7.04,ok,"quote ""check"""
320,Ada,alpha,4462.08,ok,"batch 20"
321,Eka,alpha,6101.76,ok,"batch 21"
322,Danu,alpha,3561.60,ok,"batch 22"
323,Danu,alpha,7098.24,ok,"needs, review"
324,Citra,alpha,1089.92,ok,"batch 24"
325,Eka,alpha,5556.48,ok,"batch 25"
326,Danu,alpha,7910.40,ok,"batch 26"
327,Danu,alpha,5630.72,ok,"batch 27"
328,Bima,beta,2152.32,ok,"batch 28"
329,Citra,alpha,8554.88,ok,"batch 29"
330,Citra,alpha,5176.96,ok,"batch 30"
331,Bima,alpha,5111.04,ok,"batch 31"
332,Danu,alpha,417.28,ok,"batch 32"
333,Danu,alpha,993.28,ok,"batch 33"
334,Danu,alpha,5134.72,ok,"batch 34"
335,Danu,alpha,113.20,ok,"batch 35"
336,Danu,alpha,935.68,ok,"batch 36"
337,Ada,alpha,1586.56,ok,"batch 37"
338,Ada,alpha,8887.04,ok,"batch 38"
339,Citra,alpha,7724.80,ok,"batch 39"
340,Danu,alpha,6869.12,ok,"needs, review"
341,Eka,alpha,6369.92,ok,"normal cleanup"
342,Eka,alpha,1491.20,ok,"batch 42"
343,Citra,alpha,9897.60,ok,"batch 43"
344,Citra,alpha,7601.92,ok,"batch 44"
345,Bima,alpha,7104.00,ok,"batch 45"
346,Eka,alpha,3328.00,ok,"batch 46"
347,Bima,alpha,3941.76,ok,"batch 47"
348,Eka,alpha,3223.68,ok,"quote ""check"""
349,Bima,alpha,1219.20,ok,"batch 49"
350,Citra,alpha,6562.56,ok,"batch 50"
351,Citra,alpha,2668.16,ok,"batch 51"
352,Bima,alpha,6867.20,ok,"batch 52"
353,Bima,alpha,2497.92,ok,"batch 53"
354,Bima,alpha,9134.72,ok,"batch 54"
355,Bima,alpha,9667.20,ok,"batch 55"
356,Citra,alpha,158.72,ok,"batch 56"
357,Eka,alpha,7383.68,ok,"needs, review"
358,Ada,alpha,7368.32,ok,"batch 58"
359,Ada,alpha,639.36,ok,"batch 59"
360,Bima,alpha,5480.32,ok,"batch 60"
361,Ada,alpha,3706.88,ok,"batch 61"
362,Eka,alpha,2586.24,ok,"batch 62"
363,Eka,alpha,4157.44,ok,"batch 63"
364,Danu,alpha,5221.76,ok,"batch 64"
365,Ada,alpha,5281.28,ok,"batch 65"
366,Eka,alpha,6615.04,ok,"batch 66"
367,Citra,alpha,1004.16,ok,"batch 67"
368,Ada,alpha,6672.64,ok,"batch 68"
369,Ada,alpha,106.24,ok,"batch 69"
370,Bima,alpha,1439.36,ok,"batch 70"
371,Ada,alpha,1006.08,ok,"batch 71"
372,Citra,alpha,6444.80,ok,"normal cleanup"
373,Danu,alpha,5307.52,ok,"batch 73"
374,Ada,alpha,7874.56,ok,"needs, review"
375,Citra,alpha,5114.24,ok,"batch 75"
376,Citra,alpha,6116.48,ok,"batch 76"
377,Citra,alpha,954.24,ok,"quote ""check"""
378,Danu,alpha,4397.44,ok,"batch 78"
379,Danu,alpha,2839.04,ok,"batch 79"
380,Eka,alpha,4406.40,ok,"batch 80"
381,Ada,alpha,5484.80,ok,"batch 81"
382,Citra,alpha,3846.40,ok,"batch 82"
383,Ada,alpha,3414.40,ok,"batch 83"
384,Ada,alpha,8773.76,ok,"batch 84"
385,Bima,alpha,5396.48,ok,"batch 85"
386,Eka,alpha,9241.60,ok,"batch 86"
387,Citra,alpha,5525.76,ok,"batch 87"
388,Ada,alpha,3112.32,ok,"batch 88"
389,Danu,alpha,4915.84,ok,"batch 89"
390,Eka,alpha,9193.60,ok,"batch 90"
391,Citra,alpha,4676.48,ok,"needs, review"
392,Citra,alpha,6206.08,ok,"batch 92"
393,Bima,alpha,9596.80,ok,"batch 93"
394,Citra,alpha,8202.24,ok,"batch 94"
395,Citra,alpha,9482.24,ok,"batch 95"
396,Bima,alpha,9404.80,ok,"batch 96"
397,Danu,alpha,6959.36,ok,"batch 97"
398,Citra,alpha,3363.84,ok,"batch 98"
399,Bima,alpha,2419.84,ok,"batch 99"
400,Citra,alpha,1810.56,ok,"batch 0"
401,Danu,alpha,9003.52,ok,"batch 1"
402,Eka,alpha,6199.68,ok,"batch 2"
403,Ada,alpha,3186.56,ok,"normal cleanup"
404,Citra,alpha,2149.76,ok,"batch 4"
405,Danu,alpha,2838.40,ok,"batch 5"
406,Citra,alpha,1609.60,ok,"quote ""check"""
407,Ada,alpha,4634.88,ok,"batch 7"
408,Eka,alpha,8565.76,ok,"needs, review"
409,Eka,alpha,563.20,ok,"batch 9"
410,Citra,alpha,2579.20,ok,"batch 10"
411,Danu,alpha,8535.68,ok,"batch 11"
412,Danu,alpha,8727.04,ok,"batch 12"
413,Danu,alpha,1592.96,ok,"batch 13"
414,Danu,alpha,8820.48,ok,"batch 14"
415,Ada,alpha,9210.88,ok,"batch 15"
416,Eka,alpha,5536.00,ok,"batch 16"
417,Eka,alpha,2671.28,ok,"batch 17"
418,Ada,alpha,4074.88,ok,"batch 18"
419,Bima,alpha,4354.56,ok,"batch 19"
420,Citra,alpha,4519.04,ok,"batch 20"
421,Ada,alpha,8956.16,ok,"batch 21"
422,Citra,alpha,1238.40,ok,"batch 22"
423,Ada,alpha,3907.84,ok,"batch 23"
424,Danu,alpha,4087.04,ok,"batch 24"
425,Danu,alpha,6849.92,ok,"needs, review"
426,Eka,alpha,3654.40,ok,"batch 26"
427,Bima,alpha,7517.44,ok,"batch 27"
428,Bima,alpha,4720.00,ok,"batch 28"
429,Eka,alpha,3148.80,ok,"batch 29"
430,Ada,alpha,7402.88,ok,"batch 30"
431,Ada,alpha,4033.28,ok,"batch 31"
432,Citra,alpha,924.16,ok,"batch 32"
433,Ada,alpha,2867.20,ok,"batch 33"
434,Bima,alpha,4350.08,ok,"normal cleanup"
435,Danu,alpha,62.72,ok,"quote ""check"""
436,Ada,alpha,1031.04,ok,"batch 36"
437,Eka,alpha,8458.24,ok,"batch 37"
438,Danu,alpha,9521.92,ok,"batch 38"
439,Bima,alpha,7351.68,ok,"batch 39"
440,Danu,alpha,2568.32,ok,"batch 40"
441,Eka,alpha,453.12,ok,"batch 41"
442,Ada,alpha,3800.32,ok,"needs, review"
443,Bima,alpha,6487.04,ok,"batch 43"
444,Bima,alpha,4636.16,ok,"batch 44"
445,Bima,alpha,7696.64,ok,"batch 45"
446,Ada,alpha,1094.40,ok,"batch 46"
447,Bima,alpha,9288.96,ok,"batch 47"
448,Eka,alpha,6507.52,ok,"batch 48"
449,Eka,alpha,3107.12,ok,"batch 49"
450,Bima,alpha,7219.84,ok,"batch 50"
451,Danu,alpha,1176.96,ok,"batch 51"
452,Citra,alpha,4877.44,ok,"batch 52"
453,Eka,alpha,5138.56,ok,"batch 53"
454,Bima,alpha,2240.64,ok,"batch 54"
455,Eka,alpha,8994.56,ok,"batch 55"
456,Bima,alpha,7420.80,ok,"batch 56"
457,Bima,alpha,8219.52,ok,"batch 57"
458,Eka,alpha,7514.24,ok,"batch 58"
459,Ada,alpha,1387.52,ok,"needs, review"
460,Bima,alpha,5896.96,ok,"batch 60"
461,Citra,alpha,8935.04,ok,"batch 61"
462,Ada,alpha,1294.08,ok,"batch 62"
463,Ada,alpha,846.72,ok,"batch 63"
464,Eka,alpha,2052.48,ok,"quote ""check"""
465,Danu,alpha,5861.76,ok,"normal cleanup"
466,Ada,alpha,2072.96,ok,"batch 66"
467,Bima,alpha,0.00,ok,"batch 67"
468,Eka,alpha,9400.32,ok,"batch 68"
469,Danu,alpha,7936.00,ok,"batch 69"
470,Eka,alpha,4845.44,ok,"batch 70"
471,Eka,alpha,7589.76,ok,"batch 71"
472,Eka,alpha,6829.44,ok,"batch 72"
473,Bima,alpha,3398.40,ok,"batch 73"
474,Danu,alpha,8147.20,ok,"batch 74"
475,Eka,alpha,1730.56,ok,"batch 75"
476,Bima,alpha,7532.16,ok,"needs, review"
477,Eka,alpha,4822.40,ok,"batch 77"
478,Danu,alpha,4223.36,ok,"batch 78"
479,Danu,alpha,2065.28,ok,"batch 79"
480,Ada,alpha,175.36,ok,"batch 80"
481,Danu,alpha,6115.20,ok,"batch 81"
482,Eka,alpha,3687.68,ok,"batch 82"
483,Danu,alpha,7160.32,ok,"batch 83"
484,Eka,alpha,6896.00,ok,"batch 84"
485,Citra,alpha,8261.76,ok,"batch 85"
486,Ada,alpha,7730.56,ok,"batch 86"
487,Ada,alpha,3172.48,ok,"batch 87"
488,Ada,alpha,5242.88,ok,"batch 88"
489,Eka,alpha,3253.12,ok,"batch 89"
490,Eka,alpha,7879.04,ok,"batch 90"
491,Citra,alpha,2583.04,ok,"batch 91"
492,Bima,alpha,9408.64,ok,"batch 92"
493,Bima,alpha,6535.68,ok,"needs, review"
494,Eka,alpha,6512.64,ok,"batch 94"
495,Eka,alpha,5033.60,ok,"batch 95"
496,Ada,alpha,7022.08,ok,"normal cleanup"
497,Ada,alpha,8141.44,ok,"batch 97"
498,Bima,alpha,4586.24,ok,"batch 98"
499,Bima,alpha,9658.24,ok,"batch 99"
500,Eka,alpha,5020.16,ok,"batch 0"
501,Citra,alpha,7175.68,ok,"batch 1"
502,Ada,alpha,7827.84,ok,"batch 2"
503,Bima,alpha,8101.12,ok,"batch 3"
504,Citra,alpha,5457.28,ok,"batch 4"
505,Citra,alpha,4378.24,ok,"batch 5"
506,Danu,alpha,6651.52,ok,"batch 6"
507,Citra,alpha,5201.28,ok,"batch 7"
508,Eka,alpha,6469.12,ok,"batch 8"
509,Ada,alpha,9272.96,ok,"batch 9"
510,Ada,alpha,3667.84,ok,"needs, review"
511,Bima,alpha,8183.04,ok,"batch 11"
512,Danu,alpha,3090.56,ok,"batch 12"
513,Eka,alpha,1329.92,ok,"batch 13"
514,Eka,alpha,1989.12,ok,"batch 14"
515,Danu,alpha,7494.40,ok,"batch 15"
516,Eka,alpha,2465.28,ok,"batch 16"
517,Citra,alpha,5499.52,ok,"batch 17"
518,Ada,alpha,2557.44,ok,"batch 18"
519,Eka,alpha,4001.28,ok,"batch 19"
520,Bima,alpha,7363.84,ok,"batch 20"
521,Danu,alpha,41.52,ok,"batch 21"
522,Ada,alpha,4.48,ok,"quote ""check"""
523,Citra,alpha,2001.92,ok,"batch 23"
524,Danu,alpha,6035.84,ok,"batch 24"
525,Danu,alpha,6415.36,ok,"batch 25"
526,Eka,alpha,8864.64,ok,"batch 26"
527,Bima,alpha,2232.32,ok,"needs, review"
528,Bima,alpha,9419.52,ok,"batch 28"
529,Danu,alpha,913.28,ok,"batch 29"
530,Ada,alpha,7165.44,ok,"batch 30"
531,Bima,alpha,1712.00,ok,"batch 31"
532,Citra,alpha,8277.76,ok,"batch 32"
533,Citra,alpha,150.40,ok,"batch 33"
534,Eka,alpha,2238.72,ok,"batch 34"
535,Ada,alpha,2811.52,ok,"batch 35"
536,Danu,alpha,6395.52,ok,"batch 36"
537,Bima,alpha,8227.20,ok,"batch 37"
538,Eka,alpha,2984.96,ok,"batch 38"
539,Eka,alpha,8012.16,ok,"batch 39"
540,Citra,alpha,5858.56,ok,"batch 40"
541,Eka,alpha,5973.76,ok,"batch 41"
542,Danu,alpha,9420.16,ok,"batch 42"
543,Eka,alpha,8545.92,ok,"batch 43"
544,Danu,alpha,9890.56,ok,"needs, review"
545,Eka,alpha,1048.96,ok,"batch 45"
546,Bima,alpha,8311.68,ok,"batch 46"
547,Danu,alpha,472.32,ok,"batch 47"
548,Ada,alpha,1519.36,ok,"batch 48"
549,Eka,alpha,9806.72,ok,"batch 49"
550,Ada,alpha,2995.84,ok,"batch 50"
551,Ada,alpha,7830.40,ok,"quote ""check"""
552,Citra,alpha,4736.64,ok,"batch 52"
553,Bima,alpha,4131.20,ok,"batch 53"
554,Ada,alpha,8660.64,ok,"batch 54"
555,Bima,alpha,8459.52,ok,"batch 55"
556,Ada,alpha,8360.32,ok,"batch 56"
557,Ada,alpha,8217.60,ok,"batch 57"
558,Eka,alpha,7882.80,ok,"normal cleanup"
